type,client,tx,amount
deposit,24,347,7.6499999999999995
deposit,12,348,6.0
withdrawal,56,349,2.55
withdrawal,87,350,2.0
deposit,68,351,3.0
withdrawal,74,352,2.0
withdrawal,86,353,2.0
deposit,88,354,4.65
deposit,44,355,6.0
withdrawal,36,356,2.0
withdrawal,80,357,1.55
deposit,73,358,3.0
deposit,53,359,6.0
withdrawal,72,360,2.0
deposit,11,361,7.6499999999999995
withdrawal,7,362,2.55
deposit,70,363,4.65
withdrawal,36,364,1.0
deposit,15,365,4.65
withdrawal,93,366,1.55
deposit,66,367,6.0
withdrawal,97,368,1.0
deposit,33,369,3.0
deposit,76,370,4.65
withdrawal,12,371,2.0
withdrawal,46,372,1.0
deposit,51,373,4.65
withdrawal,26,374,1.0
withdrawal,63,375,1.55
withdrawal,53,376,2.55
deposit,32,377,4.65
deposit,22,378,7.6499999999999995
deposit,89,379,7.6499999999999995
withdrawal,25,380,1.55
deposit,31,381,3.0
deposit,14,382,6.0
withdrawal,25,383,2.55
withdrawal,78,384,2.55
deposit,92,385,7.6499999999999995
deposit,44,386,7.6499999999999995
withdrawal,40,387,2.55
deposit,56,388,4.65
withdrawal,56,389,1.0
withdrawal,51,390,1.55
deposit,79,391,7.6499999999999995
deposit,67,392,7.6499999999999995
deposit,24,393,4.65
withdrawal,30,394,1.55
deposit,13,395,6.0
withdrawal,7,396,1.55
withdrawal,74,397,1.0
deposit,76,398,4.65
withdrawal,93,399,1.55
deposit,42,400,7.6499999999999995
withdrawal,53,401,2.0
withdrawal,49,402,2.0
withdrawal,57,403,1.0
withdrawal,18,404,1.55
withdrawal,24,405,2.0
deposit,80,406,3.0
withdrawal,4,407,2.0
withdrawal,72,408,2.0
withdrawal,55,409,2.0
deposit,13,410,4.65
withdrawal,39,411,2.0
deposit,40,412,6.0
withdrawal,25,413,1.0
deposit,72,414,7.6499999999999995
withdrawal,38,415,2.0
withdrawal,3,416,1.0
withdrawal,20,417,2.55
withdrawal,60,418,1.55
deposit,98,419,6.0
withdrawal,53,420,1.0
withdrawal,5,421,2.55
deposit,38,422,7.6499999999999995
withdrawal,3,423,2.0
deposit,67,424,6.0
withdrawal,50,425,2.55
deposit,24,426,3.0
withdrawal,47,427,1.55
withdrawal,98,428,2.0
withdrawal,62,429,2.0
withdrawal,13,430,1.0
withdrawal,55,431,1.55
deposit,86,432,7.6499999999999995
withdrawal,66,433,1.55
withdrawal,29,434,1.0
deposit,7,435,7.6499999999999995
deposit,58,436,7.6499999999999995
deposit,50,437,3.0
withdrawal,83,438,1.0
deposit,18,439,4.65
deposit,14,440,7.6499999999999995
withdrawal,84,441,1.55
withdrawal,84,442,1.55
withdrawal,72,443,2.55
deposit,12,444,6.0
withdrawal,86,445,1.55
deposit,93,446,7.6499999999999995
deposit,73,447,7.6499999999999995
withdrawal,5,448,2.0
deposit,69,449,6.0
withdrawal,34,450,1.55
withdrawal,50,451,1.55
withdrawal,53,452,1.0
withdrawal,1,453,2.0
deposit,80,454,7.6499999999999995
deposit,98,455,3.0
deposit,16,456,6.0
deposit,73,457,3.0
withdrawal,75,458,2.0
deposit,64,459,6.0
deposit,70,460,7.6499999999999995
withdrawal,53,461,1.55
deposit,47,462,3.0
withdrawal,59,463,2.55
deposit,82,464,3.0
deposit,95,465,7.6499999999999995
withdrawal,17,466,1.0
deposit,99,467,6.0
withdrawal,49,468,1.55
deposit,7,469,7.6499999999999995
deposit,24,470,3.0
deposit,16,471,4.65
deposit,52,472,6.0
deposit,30,473,4.65
withdrawal,49,474,2.55
deposit,56,475,6.0
deposit,88,476,4.65
withdrawal,41,477,2.0
deposit,58,478,4.65
withdrawal,15,479,2.55
withdrawal,72,480,2.55
withdrawal,6,481,1.0
deposit,94,482,4.65
deposit,57,483,7.6499999999999995
withdrawal,38,484,1.0
withdrawal,81,485,1.55
deposit,61,486,7.6499999999999995
deposit,36,487,4.65
deposit,37,488,3.0
withdrawal,74,489,1.0
deposit,83,490,3.0
withdrawal,96,491,2.0
withdrawal,90,492,1.0
deposit,73,493,4.65
deposit,77,494,3.0
deposit,53,495,3.0
deposit,56,496,4.65
withdrawal,92,497,1.0
deposit,15,498,4.65
withdrawal,68,499,2.55
withdrawal,9,500,2.55
withdrawal,21,501,1.55
withdrawal,93,502,2.55
deposit,98,503,7.6499999999999995
deposit,35,504,4.65
withdrawal,55,505,1.0
deposit,28,506,6.0
deposit,66,507,3.0
withdrawal,1,508,2.0
deposit,71,509,6.0
deposit,45,510,6.0
withdrawal,32,511,1.55
deposit,26,512,4.65
deposit,40,513,6.0
withdrawal,72,514,2.0
withdrawal,90,515,2.55
deposit,13,516,7.6499999999999995
withdrawal,62,517,1.0
withdrawal,58,518,1.0
withdrawal,76,519,1.55
withdrawal,83,520,2.55
deposit,50,521,3.0
withdrawal,98,522,1.55
deposit,87,523,6.0
deposit,15,524,3.0
deposit,57,525,3.0
deposit,40,526,6.0
deposit,48,527,7.6499999999999995
deposit,16,528,7.6499999999999995
withdrawal,67,529,2.0
deposit,50,530,7.6499999999999995
deposit,95,531,3.0
withdrawal,69,532,1.55
deposit,33,533,4.65
deposit,80,534,4.65
withdrawal,49,535,1.55
withdrawal,37,536,1.0
deposit,48,537,7.6499999999999995
deposit,9,538,7.6499999999999995
withdrawal,66,539,2.0
withdrawal,56,540,2.0
withdrawal,81,541,1.0
deposit,96,542,4.65
withdrawal,36,543,1.55
deposit,64,544,3.0
withdrawal,38,545,2.55
withdrawal,47,546,1.0
withdrawal,17,547,1.0
withdrawal,93,548,2.0
deposit,26,549,6.0
withdrawal,80,550,1.0
deposit,53,551,3.0
deposit,32,552,7.6499999999999995
withdrawal,78,553,1.55
deposit,62,554,4.65
withdrawal,40,555,1.55
withdrawal,78,556,2.0
deposit,60,557,7.6499999999999995
withdrawal,47,558,2.55
withdrawal,78,559,1.0
withdrawal,1,560,1.55
deposit,85,561,7.6499999999999995
withdrawal,22,562,2.0
withdrawal,47,563,1.55
withdrawal,23,564,1.55
deposit,93,565,3.0
deposit,83,566,4.65
withdrawal,90,567,2.55
withdrawal,86,568,2.0
withdrawal,28,569,2.0
withdrawal,72,570,1.0
withdrawal,59,571,2.55
deposit,46,572,7.6499999999999995
withdrawal,15,573,1.55
deposit,8,574,3.0
withdrawal,99,575,2.0
deposit,5,576,6.0
withdrawal,84,577,1.55
withdrawal,49,578,1.0
deposit,3,579,6.0
deposit,46,580,4.65
deposit,57,581,3.0
withdrawal,32,582,1.0
deposit,6,583,3.0
deposit,5,584,3.0
deposit,73,585,4.65
withdrawal,21,586,2.0
deposit,57,587,7.6499999999999995
deposit,18,588,6.0
deposit,76,589,4.65
withdrawal,87,590,1.0
deposit,32,591,4.65
withdrawal,45,592,1.55
deposit,42,593,3.0
withdrawal,96,594,1.0
deposit,70,595,7.6499999999999995
deposit,57,596,4.65
deposit,25,597,4.65
deposit,84,598,3.0
deposit,12,599,4.65
deposit,54,600,7.6499999999999995
withdrawal,46,601,1.0
withdrawal,9,602,2.55
deposit,85,603,6.0
deposit,78,604,3.0
withdrawal,95,605,1.55
withdrawal,57,606,1.55
withdrawal,47,607,2.0
deposit,79,608,6.0
deposit,83,609,6.0
withdrawal,84,610,2.55
deposit,59,611,6.0
deposit,22,612,4.65
withdrawal,96,613,2.0
withdrawal,67,614,2.55
deposit,12,615,4.65
withdrawal,99,616,2.0
withdrawal,96,617,1.0
withdrawal,13,618,1.0
deposit,98,619,4.65
withdrawal,39,620,2.0
deposit,81,621,3.0
deposit,56,622,3.0
withdrawal,40,623,2.0
deposit,4,624,4.65
withdrawal,33,625,1.55
withdrawal,15,626,2.55
deposit,18,627,3.0
withdrawal,33,628,2.55
deposit,11,629,6.0
withdrawal,66,630,1.0
withdrawal,4,631,1.55
withdrawal,87,632,1.0
deposit,55,633,3.0
withdrawal,63,634,1.0
deposit,73,635,7.6499999999999995
deposit,68,636,6.0
withdrawal,89,637,2.55
deposit,16,638,3.0
withdrawal,22,639,1.55
withdrawal,92,640,2.0
deposit,94,641,3.0
deposit,14,642,6.0
withdrawal,88,643,1.55
withdrawal,54,644,2.0
withdrawal,3,645,2.0
deposit,61,646,6.0
deposit,85,647,4.65
deposit,50,648,7.6499999999999995
deposit,49,649,7.6499999999999995
withdrawal,33,650,1.55
deposit,53,651,6.0
withdrawal,18,652,1.55
deposit,61,653,6.0
deposit,55,654,4.65
withdrawal,18,655,2.0
withdrawal,25,656,2.0
withdrawal,58,657,2.55
deposit,36,658,6.0
deposit,21,659,7.6499999999999995
deposit,70,660,4.65
deposit,33,661,4.65
withdrawal,57,662,1.55
deposit,6,663,4.65
withdrawal,31,664,2.0
withdrawal,9,665,2.55
withdrawal,22,666,2.55
withdrawal,68,667,1.55
deposit,17,668,3.0
deposit,73,669,6.0
withdrawal,56,670,2.55
deposit,47,671,7.6499999999999995
deposit,16,672,4.65
withdrawal,86,673,2.0
deposit,24,674,7.6499999999999995
deposit,87,675,7.6499999999999995
deposit,42,676,3.0
deposit,86,677,7.6499999999999995
withdrawal,21,678,2.55
withdrawal,23,679,1.55
deposit,9,680,3.0
deposit,62,681,7.6499999999999995
withdrawal,73,682,1.55
withdrawal,26,683,1.55
withdrawal,42,684,2.0
deposit,7,685,3.0
withdrawal,65,686,2.0
withdrawal,94,687,1.55
withdrawal,20,688,1.0
withdrawal,30,689,2.55
withdrawal,68,690,1.55
deposit,70,691,3.0
deposit,40,692,6.0
deposit,87,693,6.0
deposit,73,694,7.6499999999999995
withdrawal,33,695,1.0
withdrawal,76,696,2.0
deposit,5,697,7.6499999999999995
withdrawal,26,698,2.0
deposit,75,699,7.6499999999999995
withdrawal,92,700,2.0
withdrawal,79,701,1.0
deposit,87,702,7.6499999999999995
deposit,86,703,6.0
deposit,82,704,3.0
withdrawal,59,705,1.0
deposit,17,706,4.65
deposit,17,707,4.65
withdrawal,69,708,2.55
withdrawal,44,709,2.0
withdrawal,9,710,1.0
deposit,25,711,3.0
deposit,67,712,4.65
deposit,91,713,6.0
deposit,31,714,4.65
deposit,78,715,6.0
withdrawal,82,716,1.55
withdrawal,91,717,1.55
deposit,29,718,7.6499999999999995
withdrawal,84,719,2.55
deposit,36,720,4.65
withdrawal,74,721,2.0
withdrawal,40,722,1.0
withdrawal,60,723,2.55
deposit,4,724,7.6499999999999995
deposit,77,725,7.6499999999999995
withdrawal,27,726,2.0
deposit,2,727,3.0
withdrawal,16,728,2.55
deposit,16,729,4.65
withdrawal,44,730,2.0
withdrawal,96,731,1.55
deposit,68,732,4.65
deposit,95,733,3.0
withdrawal,6,734,2.55
withdrawal,22,735,2.55
withdrawal,35,736,2.55
withdrawal,24,737,1.0
withdrawal,54,738,2.55
deposit,85,739,4.65
withdrawal,68,740,1.0
withdrawal,51,741,2.55
deposit,37,742,7.6499999999999995
withdrawal,93,743,2.0
deposit,36,744,4.65
deposit,52,745,6.0
withdrawal,51,746,2.0
withdrawal,83,747,2.0
withdrawal,19,748,2.55
deposit,30,749,3.0
withdrawal,52,750,1.55
deposit,13,751,3.0
withdrawal,78,752,1.0
withdrawal,85,753,2.55
deposit,93,754,4.65
withdrawal,23,755,1.0
withdrawal,46,756,1.0
withdrawal,7,757,1.55
deposit,13,758,6.0
deposit,14,759,6.0
withdrawal,24,760,1.0
withdrawal,35,761,2.55
withdrawal,40,762,2.0
deposit,98,763,3.0
withdrawal,72,764,2.0
deposit,93,765,6.0
deposit,59,766,3.0
withdrawal,65,767,1.0
withdrawal,45,768,2.0
deposit,5,769,6.0
deposit,48,770,6.0
deposit,72,771,6.0
deposit,22,772,3.0
deposit,76,773,3.0
withdrawal,11,774,1.55
withdrawal,47,775,2.0
withdrawal,15,776,2.55
deposit,1,777,6.0
withdrawal,70,778,1.55
withdrawal,44,779,1.55
withdrawal,42,780,2.55
deposit,24,781,4.65
withdrawal,62,782,1.0
withdrawal,35,783,2.55
withdrawal,72,784,2.0
withdrawal,92,785,2.0
deposit,51,786,7.6499999999999995
deposit,34,787,6.0
withdrawal,38,788,1.0
withdrawal,43,789,1.55
deposit,75,790,4.65
withdrawal,88,791,2.0
deposit,10,792,6.0
withdrawal,34,793,2.0
deposit,52,794,3.0
withdrawal,18,795,2.55
withdrawal,54,796,2.55
deposit,65,797,7.6499999999999995
deposit,12,798,7.6499999999999995
deposit,14,799,7.6499999999999995
deposit,6,800,3.0
withdrawal,97,801,1.55
deposit,41,802,7.6499999999999995
deposit,42,803,3.0
deposit,49,804,6.0
withdrawal,33,805,1.55
withdrawal,77,806,2.0
deposit,87,807,4.65
deposit,9,808,6.0
deposit,97,809,3.0
withdrawal,52,810,2.0
withdrawal,86,811,2.0
withdrawal,52,812,2.55
withdrawal,92,813,2.55
withdrawal,22,814,1.55
deposit,5,815,7.6499999999999995
withdrawal,42,816,1.55
deposit,68,817,3.0
deposit,80,818,6.0
withdrawal,24,819,1.0
withdrawal,10,820,2.55
deposit,81,821,3.0
withdrawal,52,822,1.55
deposit,84,823,6.0
deposit,17,824,4.65
withdrawal,37,825,1.55
deposit,13,826,3.0
deposit,75,827,3.0
deposit,98,828,6.0
deposit,19,829,3.0
deposit,40,830,6.0
deposit,58,831,6.0
deposit,35,832,4.65
withdrawal,34,833,1.55
deposit,91,834,4.65
withdrawal,2,835,1.55
deposit,9,836,4.65
withdrawal,63,837,1.55
withdrawal,33,838,1.0
deposit,61,839,4.65
deposit,49,840,4.65
deposit,76,841,4.65
deposit,86,842,6.0
deposit,78,843,6.0
withdrawal,23,844,2.55
deposit,97,845,3.0
deposit,48,846,3.0
withdrawal,29,847,1.0
withdrawal,15,848,2.0
deposit,24,849,3.0
withdrawal,71,850,2.55
withdrawal,11,851,1.0
withdrawal,13,852,1.55
withdrawal,17,853,1.55
withdrawal,23,854,2.55
deposit,71,855,7.6499999999999995
deposit,18,856,7.6499999999999995
withdrawal,88,857,1.0
deposit,93,858,3.0
withdrawal,13,859,1.55
withdrawal,81,860,2.55
deposit,66,861,4.65
withdrawal,38,862,1.0
withdrawal,96,863,2.55
withdrawal,69,864,2.0
deposit,62,865,7.6499999999999995
withdrawal,73,866,1.0
withdrawal,14,867,2.55
withdrawal,96,868,2.55
deposit,96,869,6.0
deposit,76,870,7.6499999999999995
deposit,32,871,6.0
deposit,2,872,6.0
withdrawal,3,873,1.0
withdrawal,56,874,1.0
deposit,19,875,3.0
withdrawal,64,876,1.55
withdrawal,27,877,2.0
withdrawal,30,878,1.55
withdrawal,50,879,1.55
withdrawal,93,880,2.55
withdrawal,39,881,1.0
deposit,88,882,6.0
deposit,26,883,4.65
deposit,5,884,3.0
withdrawal,98,885,2.0
withdrawal,96,886,2.0
withdrawal,46,887,2.0
deposit,27,888,6.0
withdrawal,68,889,2.55
withdrawal,76,890,1.55
withdrawal,84,891,2.55
withdrawal,10,892,1.0
withdrawal,29,893,1.0
deposit,20,894,4.65
deposit,44,895,4.65
withdrawal,91,896,2.0
deposit,87,897,6.0
withdrawal,41,898,1.0
deposit,8,899,3.0
withdrawal,1,900,2.55
withdrawal,74,901,1.55
deposit,66,902,4.65
withdrawal,47,903,1.55
withdrawal,55,904,2.0
withdrawal,23,905,2.55
withdrawal,5,906,1.55
deposit,13,907,4.65
withdrawal,65,908,2.0
deposit,58,909,3.0
deposit,67,910,7.6499999999999995
deposit,89,911,7.6499999999999995
deposit,9,912,7.6499999999999995
withdrawal,97,913,1.55
withdrawal,40,914,1.55
deposit,23,915,4.65
deposit,28,916,3.0
deposit,87,917,4.65
withdrawal,25,918,1.0
deposit,51,919,3.0
withdrawal,34,920,2.55
withdrawal,33,921,2.0
withdrawal,89,922,2.0
withdrawal,27,923,2.55
withdrawal,68,924,2.0
withdrawal,95,925,2.55
deposit,50,926,3.0
withdrawal,1,927,1.55
deposit,51,928,7.6499999999999995
withdrawal,74,929,1.55
deposit,24,930,7.6499999999999995
deposit,47,931,3.0
deposit,96,932,3.0
withdrawal,81,933,1.0
withdrawal,20,934,1.55
withdrawal,28,935,1.55
withdrawal,88,936,1.0
deposit,73,937,7.6499999999999995
withdrawal,48,938,1.0
withdrawal,11,939,1.55
withdrawal,60,940,1.0
deposit,3,941,4.65
deposit,97,942,7.6499999999999995
deposit,40,943,3.0
withdrawal,15,944,2.55
deposit,88,945,6.0
withdrawal,32,946,1.55
deposit,7,947,6.0
deposit,85,948,3.0
deposit,31,949,3.0
deposit,67,950,4.65
deposit,47,951,4.65
withdrawal,26,952,2.0
withdrawal,37,953,2.0
deposit,58,954,7.6499999999999995
withdrawal,69,955,2.55
deposit,86,956,3.0
deposit,74,957,6.0
deposit,8,958,6.0
deposit,7,959,7.6499999999999995
withdrawal,43,960,1.0
withdrawal,8,961,2.55
withdrawal,30,962,1.0
deposit,79,963,6.0
withdrawal,62,964,2.55
withdrawal,48,965,1.0
withdrawal,19,966,1.0
deposit,24,967,6.0
withdrawal,51,968,1.55
deposit,5,969,7.6499999999999995
withdrawal,28,970,1.55
withdrawal,19,971,2.0
withdrawal,63,972,1.0
deposit,41,973,3.0
deposit,76,974,6.0
deposit,25,975,7.6499999999999995
withdrawal,6,976,1.0
withdrawal,23,977,1.55
withdrawal,82,978,1.0
withdrawal,5,979,2.55
deposit,55,980,3.0
withdrawal,76,981,2.0
withdrawal,36,982,1.0
deposit,63,983,4.65
withdrawal,44,984,1.0
withdrawal,36,985,2.55
withdrawal,56,986,1.55
deposit,14,987,3.0
deposit,15,988,7.6499999999999995
withdrawal,41,989,1.0
withdrawal,70,990,1.0
deposit,69,991,4.65
deposit,92,992,4.65
deposit,29,993,7.6499999999999995
deposit,41,994,6.0
withdrawal,14,995,2.0
deposit,33,996,3.0
deposit,46,997,3.0
withdrawal,29,998,1.55
deposit,68,999,6.0
deposit,98,1000,3.0
deposit,98,1001,3.0
withdrawal,69,1002,2.0
deposit,27,1003,6.0
withdrawal,38,1004,2.55
deposit,62,1005,3.0
withdrawal,23,1006,1.55
deposit,32,1007,7.6499999999999995
deposit,38,1008,4.65
deposit,64,1009,6.0
withdrawal,10,1010,1.0
withdrawal,95,1011,1.55
deposit,23,1012,6.0
deposit,90,1013,3.0
deposit,74,1014,6.0
deposit,33,1015,7.6499999999999995
deposit,26,1016,6.0
deposit,5,1017,4.65
deposit,35,1018,3.0
deposit,83,1019,3.0
withdrawal,45,1020,1.55
withdrawal,64,1021,2.55
withdrawal,40,1022,2.55
withdrawal,40,1023,2.55
withdrawal,88,1024,1.55
